"Generation","Identity","Population"
70,"0001",0.47712125471966244
70,"0010",6.999817688345168
70,"0011",8.95272297215826
70,"0100",0.0
70,"0101",0.0
70,"0110",7.969171767447332
70,"0111",1.6020599913279623
70,"1000",0.0
70,"1010",0.8450980400142568
70,"1011",0.3010299956639812
70,"1100",0.0
70,"1110",0.0
80,"0000",0.0
80,"0001",0.3010299956639812
80,"0010",5.231979026831504
80,"0011",8.974156236397164
80,"0100",0.0
80,"0101",0.0
80,"0110",7.760428945013528
80,"0111",1.5797835966168101
80,"1000",0.0
80,"1010",0.0
80,"1011",0.6020599913279624
80,"1100",0.0
80,"1110",0.0
90,"0000",0.0
90,"0001",0.47712125471966244
90,"0010",3.4542348957482654
90,"0011",8.984646143008096
90,"0100",0.0
90,"0101",0.0
90,"0110",7.540742758970893
90,"0111",1.5440680443502757
90,"1000",0.0
90,"1010",0.0
90,"1011",0.47712125471966244
90,"1100",0.0
90,"1110",0.0
100,"0000",0.0
100,"0001",0.47712125471966244
100,"0010",1.724275869600789
100,"0011",8.990897770359776
100,"0100",0.0
100,"0101",0.0
100,"0110",7.316818342442439
100,"0111",1.5440680443502757
100,"1000",0.0
100,"1010",0.0
100,"1011",0.47712125471966244
100,"1100",0.0
100,"1110",0.0
110,"0000",0.0
110,"0001",0.47712125471966244
110,"0010",0.9542425094393249
110,"0011",8.994619317807352
110,"0100",0.0
110,"0101",0.0
110,"0110",7.090363844200501
110,"0111",1.5185139398778875
110,"1000",0.0
110,"1010",0.0
110,"1011",0.3010299956639812
110,"1100",0.0
110,"1110",0.0
120,"0000",0.0
120,"0001",0.47712125471966244
120,"0010",0.9030899869919435
120,"0011",8.99682483001667
120,"0100",0.0
120,"0101",0.0
120,"0110",6.862393368359455
120,"0111",1.505149978319906
120,"1000",0.0
120,"1010",0.0
120,"1011",0.47712125471966244
120,"1100",0.0
120,"1110",0.0
130,"0000",0.0
130,"0001",0.0
130,"0010",0.9030899869919435
130,"0011",8.99812826287299
130,"0100",0.0
130,"0101",0.0
130,"0110",6.633520567790745
130,"0111",1.505149978319906
130,"1000",0.0
130,"1010",0.0
130,"1011",0.47712125471966244
130,"1100",0.0
130,"1110",0.0
140,"0000",0.0
140,"0001",0.47712125471966244
140,"0010",0.7781512503836436
140,"0011",8.998897300824707
140,"0100",0.0
140,"0101",0.0
140,"0110",6.404113627381242
140,"0111",1.5185139398778875
140,"1000",0.0
140,"1010",0.0
140,"1011",0.3010299956639812
140,"1100",0.0
140,"1110",0.0
150,"0000",0.0
150,"0001",0.47712125471966244
150,"0010",0.8450980400142568
150,"0011",8.999350598415594
150,"0100",0.0
150,"0101",0.0
150,"0110",6.174391001846799
150,"0111",1.4913616938342726
150,"1000",0.0
150,"1010",0.0
150,"1011",0.6020599913279624
150,"1100",0.0
150,"1110",0.0
160,"0000",0.0
160,"0001",0.3010299956639812
160,"0010",0.8450980400142568
160,"0011",8.999617633907272
160,"0100",0.0
160,"0101",0.0
160,"0110",5.944482178633431
160,"0111",1.505149978319906
160,"1000",0.0
160,"1010",0.0
160,"1011",0.47712125471966244
160,"1100",0.0
160,"1110",0.0
170,"0000",0.0
170,"0001",0.47712125471966244
170,"0010",0.8450980400142568
170,"0011",8.99977488809591
170,"0100",0.0
170,"0101",0.0
170,"0110",5.7144622077477045
170,"0111",1.5314789170422551
170,"1000",0.0
170,"1010",0.0
170,"1011",0.47712125471966244
170,"1100",0.0
170,"1110",0.0
180,"0000",0.0
180,"0001",0.47712125471966244
180,"0010",0.8450980400142568
180,"0011",8.999867475667235
180,"0100",0.0
180,"0101",0.0
180,"0110",5.484378147684787
180,"0111",1.5440680443502757
180,"1000",0.0
180,"1010",0.0
180,"1011",0.3010299956639812
180,"1100",0.0
180,"1110",0.0
190,"0000",0.0
190,"0001",0.3010299956639812
190,"0010",0.8450980400142568
190,"0011",8.999921981543444
190,"0100",0.0
190,"0101",0.0
190,"0110",5.254260385607133
190,"0111",1.5314789170422551
190,"1000",0.0
190,"1010",0.0
190,"1011",0.47712125471966244
190,"1100",0.0
190,"1110",0.0
200,"0000",0.0
200,"0001",0.3010299956639812
200,"0010",0.9030899869919435
200,"0011",8.999954069192635
200,"0100",0.0
200,"0101",0.0
200,"0110",5.024116072826771
200,"0111",1.4913616938342726
200,"1000",0.0
200,"1010",0.0
200,"1011",0.3010299956639812
200,"1100",0.0
200,"1110",0.0
210,"0000",0.0
210,"0001",0.47712125471966244
210,"0010",0.9030899869919435
210,"0011",8.999972956943541
210,"0100",0.0
210,"0101",0.0
210,"0110",4.79395094621397
210,"0111",1.4771212547196624
210,"1000",0.0
210,"1010",0.0
210,"1011",0.47712125471966244
210,"1100",0.0
210,"1110",0.0
220,"0000",0.0
220,"0001",0.3010299956639812
220,"0010",0.9030899869919435
220,"0011",8.999984073695035
220,"0100",0.0
220,"0101",0.0
220,"0110",4.5638013484542865
220,"0111",1.505149978319906
220,"1000",0.0
220,"1010",0.0
220,"1011",0.3010299956639812
220,"1100",0.0
220,"1110",0.0
230,"0000",0.0
230,"0001",0.47712125471966244
230,"0010",0.9030899869919435
230,"0011",8.999990617834966
230,"0100",0.0
230,"0101",0.0
230,"0110",4.333648756514701
230,"0111",1.4771212547196624
230,"1000",0.0
230,"1010",0.0
230,"1011",0.3010299956639812
230,"1100",0.0
230,"1110",0.0
240,"0000",0.0
240,"0001",0.47712125471966244
240,"0010",0.9030899869919435
240,"0011",8.999994469658855
240,"0100",0.0
240,"0101",0.0
240,"0110",4.103495844109766
240,"0111",1.462397997898956
240,"1000",0.0
240,"1010",0.0
240,"1011",0.47712125471966244
240,"1100",0.0
240,"1110",0.0
250,"0000",0.0
250,"0001",0.47712125471966244
250,"0010",0.9030899869919435
250,"0011",8.9999967371333
250,"0100",0.0
250,"0101",0.0
250,"0110",3.873436863222037
250,"0111",1.4471580313422192
250,"1000",0.0
250,"1010",0.0
250,"1011",0.47712125471966244
250,"1100",0.0
250,"1110",0.0
260,"0000",0.0
260,"0001",0.47712125471966244
260,"0010",0.8450980400142568
260,"0011",8.999998069556737
260,"0100",0.0
260,"0101",0.0
260,"0110",3.6434526764861874
260,"0111",1.4913616938342726
260,"1000",0.0
260,"1010",0.0
260,"1011",0.47712125471966244
260,"1100",0.0
260,"1110",0.0
270,"0000",0.0
270,"0001",0.47712125471966244
270,"0010",0.8450980400142568
